ISBN,Title,Subtitle,Author,Format,Number of pages,Publisher,Date of publication,Private notes,Comment Title,Comment Content,Reading status,Vote,Tags
9788804589235,Baltimore,Il tenace soldatino di stagno e il vampiro,"Mike Mignola, Christopher Golden",Paperback,293,Mondadori,2009-09-29,,,"Fondamentalmente è un'antologia di racconti horror camuffata da romanzo tramite la cornice dei protagonisti che si raccontano le storie. L'atmosfera è notevole, c'è un bel retrogusto lovecraftiano e le illustrazioni di Mike Mignola sono deliziose. ",Finished on 2016-02-28,4,
9782081295520,Atlas des lieux maudits,,"Olivier Le Carrer, Sibylle Le Carrer",Hardcover,134,Arthaud,2014-xx-xx,,,"I luoghi ""maledetti"" del mondo, da roba famosa tipo il triangolo delle Bermuda e Amityville ad altre cose molto meno popolari, raccontati con uno stile da guida turistica raffinata e illustrati con bellissime mappe d'epoca. Una delizia.",Finished on 2016-11-29,4,
9788866320326,L'amica geniale,"L'amica geniale vol. I: Infanzia, adolescenza",Elena Ferrante,Paperback,400,E/O,2011-10-14,,,La vita di due rosicone colossali e l'amicizia che le lega raccontate da una persona che scrive davvero bene.,Finished on 2017-01-15,5,Letti 2017
,Esperimenti scientifici da fare per gioco,,"Ian Graham, Mike Goldsmith",Hardcover,144,Le Scienze / Dorling Kindersley Limited,2015-01-xx,,,,,,
9781537479545,Game Saves,Ricordi di un videogiocatore fuori target,Angelo Franco,Paperback,156,CreateSpace Independent Publishing Platform,2016-09-28,,,"Un racconto in prima persona di una vita da videogiocatore che fondamentalmente si risolve in un lungo elenco di macchine, giochi, sparuti riferimenti storici e sentiti aneddoti personali, senza mai intrecciare le cose in maniera interessante. Di buono ha che è breve e può destare qualche bel ricordo, un po' come li destano quei post da social network sui bei tempi andati. Purtroppo non va oltre, anche perché è scritto onestamente maluccio.",Finished on 2017-01-15,2,Letti 2017
9782092559765,Bonjour bébé chat!,,,Hardcover,10,Nathan,2016-xx-xx,,,,,,
9788852225130,Zootropolis,,,Board Book,28,Disney Libri,2016-02-03,,,,,,
9781617754838,Ziggy Marley and Family Cookbook,,Ziggy Marley,Hardcover,101,Akashik,2016-xx-xx,,,,,,
9782371880214,La bible Super Nintendo,,,Hardcover,412,Pix 'n Love,2016-xx-xx,,,"La bibbia con tutti i giochi è completissima e ben strutturata, le sezioni di contorno sono interessanti, l'impaginazione è stellare. Bellissimo.",Finished on 2017-09-10,5,
9782918272267,L'histoire de Mario,"L'ascension d'une icône, entre mythes et réalité",William Audureau,Paperback,426,Pix 'n Love,2011-xx-xx,,,,,,
9782371880351,"L'Histoire de Mario, vol. 2: 1990-1995",La guerre des mascottes,"William Audureau, Oscar Lemaire",Paperback,408,Pix 'n Love,2017-xx-xx,,,,,,
9780812992984,32 Yolks,From My Mother's Table to Working the Line,"Eric Ripert, Veronica Chambers",Hardcover,247,Random House,2016-xx-xx,,,"Un'autobiografia dello chef Eric Ripert che si concentra sugli anni della gioventù e sul periodo di apprendistato presso Joël Robuchon. Gradevole, interessante soprattutto nei racconti su come funzionano le cucine.",Finished on 2017-07-16,3,
9782371880269,La Bible Super Nintendo - Extension Pack,,,Hardcover,413,Pix'n Love,2016-xx-xx,,,Una bella serie di sfiziosi extra.,Finished on 2017-09-10,5,
9782844267801,David Hockney,Album de l'Exposition. Exhibition Album,"Caroline Edde, Marie Sarré",Paperback,58,Centre Pompidou,2017-xx-xx,,,,,,
9780995658639,SNES/Super Famicom,A Visual Compendium,,Paperback,536,Bitmap Books,2018-02-xx,,,Son sempre la stessa (bellissima) roba.,Finished on 2018-01-17,5,
9782918272854,OST - Original Sound Track,100 albums indispensables de jeux vidéo,Rémi Lopez,Hardcover,229,Pix'n Love,2014-03-xx,,,"Cento colonne sonore videoludiche selezionate in base alla loro importanza ""evolutiva"" e analizzate a fondo. Un bel libro da consultare, anche per scoprire chicche ignote.",Finished on 2017-09-07,4,
9781446493830,Ready Player One,,Ernest Cline,eBook,384,Random House,2011-08-18,,,L'equivalente letterario di cagare tosto dopo aver mangiato pasta scotta condita con chiodi e dell'ottimo parmigiano.,Finished on 2017-08-11,3,
9782371880566,L'histoire de Capcom,1983-1993 : Les origines,,Hardcover,304,Pix'n Love,2018-02-xx,,,"Un grosso tomo cartonato da tavolo di qualità eccelsa, splendido da sfogliare e consultare, appassionante da leggere. La parte più ""di storia"" è ricca di dettagli interessantissimi, in parte anche inediti, e la schedatura di ogni singolo gioco è curata, approfondita e ficcante. Imperdibile.",Finished on 2018-05-05,5,
9781501141386,"The Dark Tower, Book 1",The Gunslinger,Stephen King,eBook,253,Scribner,2016-01-xx,,,"Storia intrigante, prosa irritante.",Finished on 2017-08-15,3,
9782371880191,Pix'n Love #HS1,La guerre des 32 bits: PlayStation vs Saturn,Régis Monterrin,Paperback,276,Pix'n Love,2016-xx-xx,,,"Racconta entrambe le storie molto bene, infilando un sacco di dettagli interessanti e dando voce ai protagonisti con parecchie dichiarazioni, anche inedite.",Finished on 2016-03-19,5,
9788834335109,Elementi di architettura della chiesa,Dieci lezioni introduttive,Giancarlo Santi,Paperback,239,Vita e Pensiero,2018-04-05,,,,,,
9781980338994,Intermundia Genesis,,Giorgio Catania,Paperback,297,Independently published,2018-xx-xx,,,,,,
9781626814233,Exponential Organizations,"Why New Organizations Are Ten Times Better, Faster, and Cheaper Than Yours (and What to Do about It)","Michael S. Malone, Salim Ismail, Yuri van Geest",Paperback,320,Diversion,2014-10-01,,,,,,
9791094723616,Metal Gear Solid,Hideo Kojima's Magnum Opus,"Mehdi El Kanafi, Denis Brusseaux, Nicholas Courcier",Hardcover,249,Third Editions,2018-02-21,,,"Un volume sostanzioso, scritto in maniera solida e scorrevole, che qua e là sembra forse sorvolare un po' su spunti interessanti ma nel complesso mi sento certamente di consigliare a chi apprezza la saga e vuole approfondirne svariati aspetti, ripercorrerne la storia, scoprire interpretazioni alternative e/o fare un tuffo nella nostalgia. A patto di non cercare un libro che sappia dire la sua anche sul piano visivo: il lavoro è professionale, l'impaginazione curata, l'utilizzo di loghi e simboli a ornare determinati passaggi efficace, ma i contenuti si limitano alla parola scritta. Non viene dato il minimo spazio alla presentazione di materiale d'archivio, immagini, bozzetti, copertine o chissà che altro a cui molta letteratura di settore recente ci ha abituato. I libri Third Editions sono quasi esclusivamente da leggere. Non che sia un problema, basta saperlo.",Finished on 2018-02-18,4,
9788806235291,Bastardi in salsa rossa,,Joe R. Lansdale,Paperback,283,Einaudi,2017-12-05,,,,,,
9781419726477,Basketball (and Other Things),"A Collection of Questions Asked, Answered, Illustrated",Shea Serrano,Paperback,239,Harry N. Abrams,2017-10-10,,,,,,
9788885909038,Super blu,,Katsuhiko Tokunaga,Others,152,Albertelli,1988-07,,,,,,
9782841050246,Dictionnaire international des arts appliqués et du design,,,Hardcover,650,Éditions du Regard,1996-xx-xx,,,,,,
9780600560807,THE INTERNATIONAL ENCYCLOPEDIA OF AVIATION.,,David (Editor). Mondey,Others,480,Hamlyn,1988-01-01,,,,,,
9788840236087,Ali,,"Mark Meyer, Chuck Yeager",Others,144,De Agostini,1986-08,,,,,,
9788840236094,ALI SUL MARE,,"Charles J. Heatley, Jake Garn",Hardcover,152,De Agostini,1987-07,,,,,,
9788840203720,Total Force,Le forze aeree della Riserva e della Guardia Nazionale degli Stati Uniti,"George Hall, Barry M. Goldwater, Jeffrey Ethell",Hardcover,168,De Agostini,1989-03,,,,,,
9788840299518,Ali di guerra. L'aviazione americana nel Golfo,,,Others,192,De Agostini,1992-09,,,,,,
9788820329136,Milano,Un secolo di architettura milanese dal Cordusio alla Bicocca,"Giuliana Gramigna, Sergio Mazza",Others,588,Hoepli,2001-11-01,,,,,,
9783822879894,Charles Rennie Mackintosh 1868 - 1928,(Big Series),"Charlotte Fiell, Peter Fiell",Others,176,Taschen Verlag,1997-01-01,,,,,,
9783822876527,Santiago Calatrava,,Philip Jodidio,Hardcover,175,Taschen,1998-10-01,,,,,,
9788843553754,Il design italiano (1964-1990),Un museo del design italiano,,Others,496,Mondadori Electa,1996-02-23,,,,,,
9783822861165,Decorative Art 1920s,,,Hardcover,,Taschen,2011-05-02,,,,,,
9783822861158,"1900s-1910s. Decorative art. Ediz. italiana, spagnola e portoghese",,,Others,576,Taschen,2010-03-19,,,,,,
9782870093320,Starck,,Christine Colin,Hardcover,348,P. Mardaga,1988-xx-xx,,,,,,
9782841100040,Maisons des Antilles,Un art de vivre d'hier et d'aujourd'hui,Michael Connors,Hardcover,175,Flammarion,2007-10-17,,,,,,
9788842210498,Dizionario dell'architettura del XX secolo (6 vol),,,Hardcover,2700,Allemandi,2001-12-31,,,,,,
,Corso di navigazione dei Glénans,,AA. VV.,Hardcover,944,Mursia,1987-01-01,,,,,,
9788830418677,Dizionario di marina,,"Ilaria Gallinaro, Giovanni Bàrberi Squarotti",Hardcover,344,Longanesi,2000-09-22,,,,,,
9788818121001,Lo hobbit,annotato da Douglas A. Anderson,John R. R. Tolkien,Hardcover,464,Rusconi Libri,1991-12,,,,,,
9780751565355,"Harry Potter and the Cursed Child, Parts 1 & 2",,Jack Thorne,Hardcover,343,"Little, Brown",2016-07-xx,,,,,,
9780857520104,The Long Earth,,"Stephen Baxter, Terry Pratchett",Paperback,400,Doubleday,2012-06-01,,,,,,
9780385347303,The Ultimate Hitchhiker's Guide to the Galaxy,Five Novels and One Story,Douglas Adams,Leather Bound,832,Crown,2012-xx-xx,,,,,,
9788887006018,Stardust,Una storia d'amore nel regno delle fate,"Charles Vess, Neil Gaiman",Hardcover,224,Magic Press,2000-01,,,,Finished on 2007-08-22,5,
9782070331000,Le Petit Prince,avec les dessins de l'auteur,Antoine de Saint-Exupéry,Paperback,95,"Gallimard (Folio Junior, 100)",2001-11-15,,,,,,
9781559705981,Trigger Happy,Videogames and the Entertainment Revolution,Steven Poole,Paperback,304,Arcade Publishing,2004-09-15,,,"Chiaramente data la velocità con cui si evolve il settore, su alcuni temi è invecchiatissimo, e la postfazione successiva di quattro anni, pur interessante, non cambia questa cosa. Ma su molti altri temi rimane ancora parecchio attuale ed è comunque affascinante (ri)scoprire come le cose venissero viste quasi vent'anni fa e quanto abbiano centrato il bersaglio le vare previsioni di Poole. In generale, rimane un libro di analisi del videogioco molto complesso e profondo, con alcuni capitoli davvero fondamentali.",Finished on 2018-08-09,4,
9782709639149,Au cœur des émotions de l'enfant,"Comprendre son langage, ses rires et ses pleurs",Isabelle Filliozat,eBook,216,JC Lattès,2014-04-xx,,,"Una lettura preziosa, in cui ho ritrovato in larga misura il mio pensiero ma che proprio per questo mi ha fatto rivalutare e ripensare molti atteggiamenti dei quali ero convinto. E anche se non ci si trovasse d'accordo coi principi generali espressi, penso che possa fare bene confrontarsi con questi punti di vista.",Finished on 2018-08-25,5,
9781473629097,Rusty Puppy,,Joe R. Lansdale,eBook,246,Mulholland Books,2017-02-xx,,,Si conferma il ritorno di forma del libro precedente. I momenti migliori della serie rimangono lontani ma il racconto è godibilissimo e la scrittura è bella frizzante.,Finished on 2018-09-09,4,
9780571333141,Conversations with Friends,,Sally Rooney,eBook,304,Faber & Faber,2017-05-xx,,,,,,
9780571334667,Normal People,,Sally Rooney,eBook,266,Faber & Faber,2018-08-xx,,,,,,
9788877107008,Mille gru,,Yasunari Kawabata,Paperback,136,SE,2007-07-26,,,,,,
9788806212643,Ragazze mancine,,Stefania Bertola,Paperback,281,Einaudi,2013-11-05,,,,,,
9788861923300,Il giardino delle nebbie notturne,,Twan Eng Tan,Paperback,375,Elliot,2013-04-10,,,,,,
9788845914270,Finzioni,,Jorge L. Borges,Paperback,186,Adelphi,2003-07-02,,,,,,
9782070196678,Chanson douce,,Leïla Slimani,Paperback,226,Gallimard,2016-05-25,,,,,,
9788845240980,Le particelle elementari,,Michel Houellebecq,Paperback,316,Bompiani,1999-01-01,,,,,,
9788866210054,"Bianca come il latte, rossa come il sangue",,Alessandro D'Avenia,Paperback,254,Mondadori,2011-03-25,,,,,,
9788862201179,Il viaggiatore del secolo,,Andrés Neuman,Hardcover,483,Ponte alle Grazie,2010-06-10,,,,,,
9788876417962,L'eleganza del riccio,,Muriel Barbery,Paperback,321,E/O (Dal mondo. Francia),2007-xx-xx,,,,,,
9788806174118,Pastorale americana,,Philip Roth,Paperback,425,Einaudi,2005-07-12,,,,,,
9780007200283,Half of a Yellow Sun,,Chimamanda Ngozi Adichie,Paperback,448,HarperCollins Publishers,2007-01-15,,,,,,
9788866321811,Storia del nuovo cognome,L'amica geniale vol. II: Giovinezza,Elena Ferrante,Paperback,470,e/o (Dal mondo),2012-09-xx,,,"Continua ad essere una lettura gradevolissima, che racconta un mondo, un'epoca e dei personaggi con forza, coinvolgimento, attraverso una scrittura che riesce ad essere bella senza dare mai l'impressione di piacersi. Inoltre, mi ha messo curiosità di andare avanti molto più del primo libro.",Finished on 2019-01-26,5,
9788889767375,La morte dei caprioli belli,,Ota Pavel,Paperback,158,Keller,2013-04-09,,,,,,
9788878760431,Il luogo del cuore,,Donata Testa,Others,96,Ediarco,2006-07,,,,,,
9780679722922,Ratner's Star,,Don DeLillo,Paperback,448,Vintage,1989-07-17,,,,,,
9788866325512,"Storia della bambina perduta. Maturità, vecchiaia",L'amica geniale vol. 4,Elena Ferrante,Paperback,451,e/o,2014-10-29,,,,,,
9781476708478,In One Person,,John Irving,Others,,,2013-03-01,,,,,,
9788845918711,La scomparsa di Majorana,,Leonardo Sciascia,Paperback,119,Adelphi,2004-05-26,,,,,,
9788830417571,Satana a Goray,,Isaac Bashevis Singer,Paperback,244,Longanesi,2002-05-17,,,,,,
9780141039282,The Help,,Kathryn Stockett,Paperback,464,Penguin Books Ltd,2010-04-10,,,,,,
,Lady Chatterley's Lover,,D. H. Lawrence,Paperback,317,Penguin Books,1960-01-01,,,,,,
9782070141951,Moment d'un couple,Roman,Nelly Alard,Paperback,375,Gallimard,2013-07-01,,,,,,
9788831718424,Cyber China,,Xiaolong Qiu,Paperback,315,Marsilio,2014-06-18,,,,,,
9780571288007,Death Comes to Pemberley,,P. D. James,Paperback,352,Faber and Faber,2012-07-05,,,,,,
9781435132412,To Kill A Mockingbird,,Harper,Leather Bound,323,Barnes & Noble,xxxx-xx-xx,,,,,,
,Zanna Bianca,qui comincia la lettura 2010,Jack London,Paperback,281,Edizioni Corraini per Festivaletteratura,2010-02-01,,,,,,
9782253161547,Maigret en mer du Nord,,Georges Simenon,Paperback,316,Le Livre de Poche,2011-08-24,,,,,,
9788806169541,Una stagione selvaggia,,Joe R. Lansdale,Paperback,192,Einaudi,2006-10-03,,,,,,
9788806171469,Mucho Mojo,,Joe R. Lansdale,Paperback,281,Einaudi,2007-06-05,,,,,,
9780099460237,The Emperor of Scent,"A Story of Perfume, Obsession and the Last Mystery of the Senses",Chandler Burr,Paperback,400,Cornerstone,2004-03-04,,,,,,
9780141182766,Seven Pillars of Wisdom,A Triumph,T. E. Lawrence,Paperback,704,Penguin Books Ltd,2000-03-30,,,,,,
9788807812149,Ancora una notte,,Raymond Chandler,Paperback,144,Feltrinelli,1999-04-26,,,,,,
9788806228293,Honky Tonk Samurai,,Joe R. Lansdale,Paperback,425,Einaudi,2015-11-24,,,,,,
9788831797870,Il cinese,,Henning Mankell,Paperback,587,Marsilio,2009-06-17,,,,,,
9788807812194,Addio mia amata,,Raymond Chandler,Paperback,240,Feltrinelli,2008-11-03,,,,,,
9788807812507,La signora nel lago,,Raymond Chandler,Others,256,Feltrinelli,2008-09-29,,,,,,
9780008227494,The Force,,Don Winslow,Paperback,482,HarperCollins,2017-xx-xx,,,,,,
9780349117546,Shantaram,,Gregory David Roberts,Paperback,944,"Little, Brown Book Group",2005-03-24,,,,,,
9788823500518,Poesie d'amore,,Jacques Prevert,Paperback,240,Guanda,2012-05-17,,,,,,
9782070360048,Vol de nuit,,Antoine de Saint-Exupéry,Paperback,188,"Gallimard (Folio, 4)",1972-01-01,,,,,,
9782070362431,Les belles images,(Folio Series: 243),Simone de Beauvoir,Paperback,182,Gallimard,1972-11-07,,,,,,
9788838915222,Aristotele detective,,Margaret Doody,Paperback,449,Sellerio Editore Palermo,1999-09-03,,,,,,
9788838924781,La caccia al tesoro,,Andrea Camilleri,Paperback,271,Sellerio Editore Palermo,2010-05-20,,,,,,
9788838925894,La setta degli angeli,,Andrea Camilleri,Paperback,233,Sellerio Editore Palermo,2011-10-20,,,,,,
9780141442075,Arabian Sands,,Wilfred Thesiger,Paperback,368,Penguin Books Ltd,2007-07-07,,,,,,
9788804308164,Il grande Gatsby,,Francis Scott Fitzgerald,Paperback,272,Mondadori,1995-08-29,,,,,,
9782070373628,La vie devant soi,,Romain Gary,Paperback,273,Gallimard,1982-03-16,,,,,,
9782070450312,Les souvenirs,,David Foenkinos,Mass Market Paperback,290,"Gallimard (Folio, 5513)",2013-01-10,,,,,,
9782253111825,Rien de grave,,Justine Lévy,Paperback,220,L.G.F.,2005-10-01,,,,,,
9788838914287,La doppia vita di M. Laurent,,Santo Piazzese,Paperback,330,Sellerio Editore Palermo,1998-06-26,,,,,,
9782070339945,Le Monde comme il va,Et autres contes Extraits de Zadig et autres contes,Voltaire,Paperback,105,Editions Gallimard,2006-09-28,,,,,,
9782070457120,Napoléon ou La destinée,,Jean-Marie Rouart,Mass Market Paperback,390,Gallimard,2014-xx-xx,,,,,,
9782070463459,Plonger,,Christophe Ono-dit-Biot,Mass Market Paperback,454,"Gallimard (Folio, 5885)",2015-xx-xx,,,,,,
9788838921469,Ragionevoli dubbi,,Gianrico Carofiglio,Paperback,299,Sellerio Editore Palermo,2006-09-07,,,,,,
9788838928161,Capodanno in giallo,,"Andrea Camilleri, Antonio Manzini, Francesco Recami, Gian Mauro Costa, Marco Malvaldi, Esmahan Aykol",Paperback,288,Sellerio,2012-11-22,,,,,,
9788838930539,Un covo di vipere,,Andrea Camilleri,Paperback,261,Sellerio Editore Palermo,2013-05-30,,,,,,
9788830412903,Il ragazzo giusto,,Vikram Seth,Hardcover,1632,Longanesi,1995-05-04,,,,,,
9781844673612,From A to X,A Story in Letters,John Berger,Paperback,208,Verso,2009-03-25,,,,,,
9782070416219,L'Adversaire,,Emmanuel Carrere,Mass Market Paperback,219,Gallimard,2002-08-xx,,,,,,
9788838918032,Il soffio della valanga,,Santo Piazzese,Paperback,329,Sellerio Editore Palermo,2002-11-29,,,,,,
9788838925283,Il sorriso di Angelica,,Andrea Camilleri,Paperback,257,Sellerio Editore Palermo,2010-10-21,,,,,,
9788838927621,Una voce di notte,,Andrea Camilleri,Paperback,269,Sellerio Editore Palermo,2012-10-18,,,,,,
9788838931093,Blues di mezz'autunno,,Santo Piazzese,Paperback,161,Sellerio Editore Palermo,2013-10-31,,,,,,
9782266061285,Bonjour Tristesse,,Francoise Sagan,Paperback,153,Pocket,2005-08-27,,,,,,
9782070440252,La délicatesse,,David Foenkinos,Mass Market Paperback,210,"Gallimard (Folio, 5177)",2011-01-13,,,,,,
9788838912344,I delitti di via Medina-Sidonia,,Santo Piazzese,Paperback,304,Sellerio Editore Palermo,1996-06-13,,,,,,
9788838919053,Ad occhi chiusi,,Gianrico Carofiglio,Paperback,253,Sellerio Editore Palermo,2003-11-21,,,,,,
9780340786055,One Hundred Ways for a Cat to Train Its Human,,Celia Haddon,Paperback,96,Hodder & Stoughton General Division,2001-10-18,,,,,,
9788847415959,"Io, il gatto",,,Others,64,Edicart,1999-12,,,,,,
9781452110585,I Could Pee on This,and Other Poems by Cats,Francesco Marciuliano,Hardcover,111,Chronicle Books,2012-10-01,,,,,,
9788817034098,Tutto quello che so l'ho imparato dal mio gatto,137 pillole di saggezza felina,Suzy Becker,Paperback,144,Rizzoli,2009-10-28,,,,,,
9780993131509,The Story of the ZX Spectrum in Pixels,,Chris Wilkins,Paperback,232,Fusion Retro Books,2014-xx-xx,,,"È il primo della serie ""in Pixels"" ma lo leggo per ultimo grazie alla ristampa. Il formato, ovviamente, è sempre quello, con un mix di articoli generali di contesto, schede e immagini sui singoli giochi e ricordi personali di chi c'era. Piacevolissimo e ricco di informazioni come al solito.",Finished on 2018-12-12,5,
9780993131523,The Story of the ZX Spectrum in Pixels,,Chris Wilkins,Paperback,236,Fusion Retro Books,2015-xx-xx,,,"È il primo della serie ""in Pixels"" ma lo leggo per ultimo grazie alla ristampa. Il formato, ovviamente, è sempre quello, con un mix di articoli generali di contesto, schede e immagini sui singoli giochi e ricordi personali di chi c'era. Piacevolissimo e ricco di informazioni come al solito.",Finished on 2018-12-16,5,
9780993131547,The Story of the ZX Spectrum in Pixels,,Chris Wilkins,Paperback,236,Fusion Retro Books,2015-xx-xx,,,"È il primo della serie ""in Pixels"" ma lo leggo per ultimo grazie alla ristampa. Il formato, ovviamente, è sempre quello, con un mix di articoli generali di contesto, schede e immagini sui singoli giochi e ricordi personali di chi c'era. Piacevolissimo e ricco di informazioni come al solito.",Finished on 2018-12-19,5,
9780995658660,The Art of Point-and-Click Adventure Games,,,Hardcover,460,Bitmap Books,2018-09-xx,,,"Sostanzialmente è la versione dopata di un Visual Compendium e infatti è splendido come lo sono i libri di quella collana. Fantastico da sfogliare e ammirare, interessantissimo nelle interviste, soprattutto quando dà voce a nomi meno noti dei soliti. I gadget dell'edizione limitata, poi, sono adorabili.",Finished on 2018-09-23,5,
9780007453108,The Leftovers,,Tom Perrotta,eBook,300,HarperCollins Publishers,2012-01-05,,,"Lo spunto di partenza è affascinante ma Perrotta lo usa solo come tale, senza indagare, concentrandosi piuttosto sulle persone, sull'elaborazione di lutti impossibili, sulla sopravvivenza, su un mondo stravolto. Ci sono passaggi molto riusciti e un bel finale carico di speranza, ma il libro gira parecchio a vuoto e non tutti i personaggi hanno davvero qualcosa di interessante da raccontare.",Finished on 2018-11-22,3,
9780957576841,500 Years Later,An Oral History of Final Fantasy VII,Matt Leone,Hardcover,240,Read-Only Memory,2018-09-xx,,,"Ottima versione ampliata di una ""oral history"" che già era notevole nella sua versione originale. Il racconto della creazione di un gioco storico e un sacco di aneddoti collaterali.",Finished on 2018-10-13,4.5,
9781250159977,Enigma Variations,,André Aciman,Paperback,266,Picador,2018-01-09,,,,,,
9788806235314,Il sorriso di Jackrabbit,Un'indagine di Hap & Leonard,Joe R. Lansdale,Paperback,250,Einaudi,2018-09-04,,,,,,
9788852028717,Bambini e basta,Perché non dobbiamo dimenticare che i grandi siamo noi,Irene Bernardini,eBook,204,Mondadori,2012-09-18,,,"Molto interessante nell'approccio e in ciò che prova a spiegare, anche se ovviamente, su questo genere di libri, conta quanto ti trovi in sintonia con quel che viene detto. Non ho amato molto lo stile di scrittura, onestamente.",Finished on 2018-12-06,4,
9782371880153,L'histoire du point'n click,,Patrick Helliot,Hardcover,496,Pix'n Love,2018-11-xx,,,"Un libro splendido, ricco, approfondito, piacevole da sfogliare e da leggere, che racconta l'argomento in maniera perfetta e offrendo anche una bella finestra sulla scena europea in generale, francese in particolare, molto importante per il genere.",Finished on 2019-02-05,5,
9781940535005,EarthBound,,Ken Baumann,Paperback,189,Boss Fight Books,2014-01-15,,,"Un'analisi del gioco molto personale, che traccia un filo conduttore fra l'esperienza dell'autore, i temi del GdR, le meccaniche, la localizzazione e altro ancora, attraverso una rilettura in età adulta di quanto giocato e vissuto da bambino. ",Finished on 2018-12-22,4,
9781594204227,How to Change Your Mind,"What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",Michael Pollan,Hardcover,465,Penguin Press,2018-05-15,,,,,,
9788867223541,Giappone,Il ricettario,Nancy Singleton Hachisu,Hardcover,468,L'Ippocampo,2018-08-20,,,,,,
9780099578741,"Love, Sex and Other Foreign Policy Goals",,Jesse Armstrong,Paperback,384,Vintage,2016-04-01,,,,,,
,BioShock,From Rapture to Columbia,"Nicolas Courcier, Mehdi El Kanafi, Raphaël Lucas",Hardcover,192,Third Editions,2018-02-15,,,"Un bell'approfondimento, che analizza e interpreta l'intera serie parlando di struttura, meccaniche, narrazione, riferimenti culturali, temi, processo di sviluppo, influenza sul settore.",Finished on 2019-01-26,4.5,
9781782817819,Commodore,The Inside Story,David John Pleasance,Hardcover,360,Downtime,2018-10-xx,,,"Un bel libro, ricco di aneddoti interessanti, che spiega cose non necessariamente stranote e soprattutto offre un punto di vista un po' diverso dal solito, perlomeno nella prima metà. La seconda parte, dedicata ai ricordi personali di varie persone, approfondisce invece aspetti tecnici ed è comunque molto interessante. Complessivamente, senza dubbio un libro da leggere per chi è interessato alla storia di Commodore e, in generale, del settore.",Finished on 2018-12-08,5,
9788823502444,La filosofia di Topolino,,"Giulio Giorello, Ilaria Cozzaglio",Paperback,252,Guanda,2013-03-21,,,,,,
9781608198740,The Flavor Thesaurus,"Pairings, Recipes and Ideas for the Creative Cook",Niki Segnit,Hardcover,395,Bloomsbury,2012-xx-xx,,,,,,
9780415336413,On Dialogue,(Routledge Classics),"Peter Senge, David Bohm",Paperback,160,Routledge,2004-09-21,,,,,,
9782910352578,Histoire naturelle et morale de la nourriture,,Maguelonne Toussaint-Samat,Paperback,823,Le Pérégrinateur,2013-04-xx,,,"Interessantissimo, ricco nell'approfondimento, accurato nella ricerca di informazioni, capace di spaziare in maniera ampia su tutti gli argomenti pur dando - per ovvi motivi - una buona dose di spazio a una visione ""francese"" delle cose. Ha solo il problema di essere pesante come un pilastro di cemento, ma è anche un po' inevitabile.",Finished on 2019-06-21,5,
9781784162818,All That Remains,A Life in Death,Sue M. Black,Paperback,354,Black Swan,2019-03-07,,,,,,
9780995658691,SEGA® Master System,A Visual Compendium,,Paperback,424,Bitmap Books,2019-xx-xx,,,"Il sesto compendium prosegue sulla linea clamorosa della serie, aggiungendo sfiziosità specifiche come le pagine in 3D. La solita bomba.",Finished on 2019-06-29,5,
9781999353308,The CRPG Book,A Guide to Computer Role-Playing Games,,Hardcover,528,Bitmap Books,2019-07-31,,,"Una risorsa enorme, curatissima e clamorosa, eccellente come tomo da consultazione ma piacevolissima anche da leggere per intero, dall'inizio alla fine. Ti immergi nella storia del genere e la vivi o rivivi con gusto, nonostante magari qualche articolo sia un po' troppo estremo nelle opinioni espresse. Peccato per qualche errore qua e là, ma in un volume così immenso capita.",Finished on 2019-08-29,5,
9781473629127,Jackrabbit Smile,,Joe R. Lansdale,eBook,214,Mulholland Books,2018-03-22,,,"Lansdale continua a confermare la ritrovata forma nelle nuove avventure di Hap & Leo, piacevoli e divertenti come al solito, seppur lontane dai momenti migliori.",Finished on 2019-09-01,4,
9781473661233,Natives,Race and Class in the Ruins of Empire,Akala,Paperback,342,Two Roads,2019-xx-xx,,,,,,
9781784708245,The Overstory,A Novel,Richard Powers,Paperback,502,Vintage,2019-04-11,,,,,,
9781785175695,Big Sky,,Kate Atkinson,Hardcover,367,Transworld Publishers,2019-xx-xx,,,,,,
9780977998326,The 8-Bit Book,1981 to 199x,Jerry Ellis,Paperback,245,Hiive Books,2009-08-01,,,"Una bella rassegna sui giochi più significativi e interessanti pubblicati fra i vari personal computer a 8 bit, anche e soprattutto sulle macchine meno note.",Finished on 2019-09-29,4,
9781785176050,The Porpoise,,Mark Haddon,Hardcover,336,Vintage,2019-xx-xx,,,,,,
9788807713569,Bretagna e Normandia,,Greg Ward,Paperback,402,Feltrinelli,2016-02-25,,,,,,
9788804668374,Lezioni americane,,Italo Calvino,Paperback,151,Mondadori,2016-06-28,,,,,,
9782263159893,Zéro déchet,"Le manuel d'écologie quotidienne simple, pratique et à l'usage de tous",Julie Bernier,Paperback,239,Solar,2019-04-xx,,,,,,
